,Reference Article,Citation Marker,Citance Number,Citing Article,Citation Marker Offset,Citation Offset,Citation Text,Reference Offset,Reference Textt,Discourse Facet
0,A97-1014,"Skut et al, 1997",1,E99-1016,0,0,"This type of model is used to facilitate the syntactic annotation of the NEGRA corpus of German newspaper texts (Skut et al, 1997)",[169],"Since the combinatorics of syntactic constructions creates a. demand for very large corpora., efficiency of annotation is an important. criterion for the success of the developed methodology and tools.",Method_Citation
1,A97-1014,"Skut et al, 1997",2,E99-1016,0,0,"For our experiments, we use the NEGRA corpus (Skut et al, 1997)",[141],The corpus is stored in a SQL database.,Method_Citation
2,A97-1014,"Skut et al, 1997",3,E12-1047,0,0,"As data we use version 2 of the Negra (Skut et al1997) tree bank, with the common training ,devel 1 10 100 1000 10000 100000 3 4 5 6 7 8 9 Frequenc y Parsing complexity head-driven optimal head-driven Figure 6: The distribution of parsing complexity among productions in Markovized, head-driven grammars read off from NEGRA-25",[140],"For the implementation, we used Tcl/Tk Version 4.1.",Method_Citation
3,A97-1014,1997,5,I05-6010,0,0,According to Skut et al (1997) tree banks have to meet the following requirements: 1,[22],"(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.",Method_Citation
4,A97-1014,"Skut et al, 1997",7,C10-1061,0,0,"In contrast, some other tree banks, such as the German NeGra and TIGER tree banks allow annotation with crossing branches (Skut et al, 1997) .Non-local dependencies can then be expressed directly by grouping all dependent elements under a single node",[111],"If the scope of such a word does not directly correspond to a tree node, the word is attached to the lowest node dominating all subconstituents appearing in its scope.",Method_Citation
5,A97-1014,"Skut et al, 1997",8,C10-1061,0,0,"Our data source is the German NeGra tree bank (Skut et al, 1997)",[128],"In the first phase, the main functionality for building and displaying unordered trees is supplied.",Method_Citation
6,A97-1014,"Skut et al, 1997",9,P05-1039,0,0,"The parsing models we present are trained and tested on the NEGRA corpus (Skut et al, 1997), a hand parsed corpus of German newspaper text containing approximately 20,000 sentences",[141],The corpus is stored in a SQL database.,Method_Citation
7,A97-1014,"Skut et al, 1997",10,P03-1013,0,0,"The present paper addresses this question by proposing a probabilistic parsing model trained on Negra (Skut et al, 1997), a syntactically annotated corpus for German",[4],The work reported in this paper aims at providing syntactically annotated corpora (treebanks') for stochastic grammar induction.,Method_Citation
8,A97-1014,"Skut et al, 1997",11,P03-1013,0,0,"The annotation scheme (Skut et al, 1997) is modeled to a certain extent on that of the Penn Treebank (Marcuset al, 1993), with crucial differences",[160],These differences can be illustrated by a comparison with the Penn Treebank annotation scheme.,Method_Citation
9,A97-1014,"Skut et al, 1997",13,W04-1505,0,0,"German is con sider ably more in ectional which means that discarding functional information is more harmful, and which explains why the NEGRA an notation has been conceived to be quite at (Skut et al, 1997)",[109],"In addition, we have adopted a simple convention for those cases in which context information is insufficient, for total disambiguation: the highest possible attachment, site is chosen.",Method_Citation
10,A97-1014,"Skut et al, 1997",14,C04-1074,0,0,"The factors used in the algorithms and the algorithms themselves are evaluated on a Germancorpus annotated with syntactic and co reference in formation (Negra) (Skut et al, 1997)",[14],Corpora annotated with syntactic structures are commonly referred to as trctbank.5.,Method_Citation
11,A97-1014,"Skut et al, 1997",16,P11-2067,0,0,"CKK uses the Dubey and Keller (2003) parser, which is trained on the Negra corpus (Skut et al, 1997)",[141],The corpus is stored in a SQL database.,Method_Citation
12,A97-1014,"Skut et al, 1997",17,W08-1007,0,0,"Earlier studies by Dubey and Keller (2003) and Dubey (2005) using the Negratreebank (Skut et al, 1997) reports that lexicaliza tion of PCFGs decrease the parsing accuracy when parsing Negra? s flat constituent structures",[65],The tree resembles traditional constituent structures.,Method_Citation
13,A97-1014,"Skut et al, 1997",19,D07-1066,0,0,"A comparison of unlexicalised PCFG parsing (Ku ?bler, 2005) trained and evaluated on the German NEGRA (Skut et al, 1997) and the Tu? Ba D/Z (Telljohann et al, 2004) tree banks using LoPar (Schmid, 2000) shows a difference in parsing results of about 16%, using the PARSEVAL metric (Black et al, 1991)",[22],"(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.",Method_Citation
