,Reference Article,Citation Marker,Citance Number,Citing Article,Citation Marker Offset,Citation Offset,Citation Text,Reference Offset,Reference Textt,Discourse Facet
0,E03-1005,"Bod, 2003",2,N06-1045,0,0,"Data-Oriented Parsing (DOP)? s methodology is to calculate weighted derivations, but as noted in (Bod, 2003), it is the highest ranking parse, not derivation, that is desired","[70, 33, 102]","[""Goodman's construction is as follows."", 'Cross-validation is needed to avoid this problem.', 'In case the shortest derivation is not unique, Bod (2000b) proposes to back off to a frequency ordering of the subtrees.']",Method_Citation
1,E03-1005,2003,3,D07-1058,0,0,"Goodman? s transform, in com bi nation with a range of heuristics, allowed Bod (2003) to run the DOP model on the Penn Treebank WSJ benchmark and obtain some of the best results obtained with a generative model","[145, 11, 135]","['This paper showed that a PCFG-reduction of DOP in combination with a new notion of the best parse tree results in fast processing times and very competitive accuracy on the Wall Street Journal treebank.', 'The DOP model, on the other hand, was the first model (to the best of our knowledge) that proposed not to train a predefined grammar on a corpus, but to directly use corpus fragments as a grammar.', 'In the following section first results of SL-DOP and LS-DOP with a compact PCFG-reduction. we will see that our new definition of best parse tree also outperforms the best results obtained in Bod (2001).']",Method_Citation
2,E03-1005,"Bod, 2003",4,D07-1058,0,0,"Zuidema (2006a) shows that also the estimator (Bod, 2003) uses is biased and inconsistent, and will, even in the limit of infinite data, not correctly identify many possible distributions over trees","[108, 143, 133]","['The underlying idea of combining LikelihoodDOP and Simplicity-DOP is that the parser selects the simplest tree from among the n most probable trees, where n is a free parameter.', 'While SL-DOP and LS-DOP have been compared before in Bod (2002), especially in the context of musical parsing, this paper presents the The DOP approach is based on two distinctive features: (1) the use of corpus fragments rather than grammar rules, and (2) the use of arbitrarily large fragments rather than restricted ones.', 'It should be mentioned that the best precision and recall scores reported in Bod (2001) are slightly better than the ones reported here (the difference is only 0.2% for sentences 100 words).']",Method_Citation
3,E03-1005,"Bod, 2003",5,P11-1086,0,0,"Second, we compare against a composed-rule system, which is analogous to the Data Oriented Parsing (DOP) approach in parsing (Bod, 2003)","[102, 59, 88]","['In case the shortest derivation is not unique, Bod (2000b) proposes to back off to a frequency ordering of the subtrees.', 'A new nonterminal is created for each node in the training data.', ""In this paper, we will test a simple extension of Goodman's compact PCFG-reduction of DOP which has the same property as the normalization proposed in Bod (2001) in that it assigns roughly equal weight to each node in the training data.""]",Method_Citation
4,E03-1005,"Bod, 2003",6,P04-1013,0,0,"Our best performing model is more accurate than all these previous models except (Bod, 2003)","[106, 6, 107]","['What is more important, is, that the best parse trees predicted by Simplicity-DOP are quite different from the best parse trees predicted by Likelihood-DOP.', 'To appreciate these innovations, it should be noted that the model was radically different from all other statistical parsing models at the time.', 'This suggests that a model which combines these two notions of best parse may boost the accuracy.']",Method_Citation
5,E03-1005,"Bod, 2003",7,P04-1013,0,0,"We find that the discriminative probability model is much worse than the generative one, but that training to optimize the discriminative criteria results in improved performance. Performance of the latter model on the standard test set achieves 90.1% F-measure on constituents, which is the second best current ac curacy level, and only 0.6% below the current best (Bod, 2003) .This paper has also proposed a neural network training method which optimizes a discriminative criteria even when the parameters being estimated are those of a generative probability model","[11, 50, 58]","['The DOP model, on the other hand, was the first model (to the best of our knowledge) that proposed not to train a predefined grammar on a corpus, but to directly use corpus fragments as a grammar.', 'The probability of a parse tree is computed from the occurrencefrequencies of the subtrees in the treebank.', 'The notation A@k denotes the node at address k where A is the nonterminal labeling that node.']",Method_Citation
6,E03-1005,"Bod, 2003",10,E06-2025,0,0,"Similarly, (Bod, 2003) changes the way frequenciesfi are counted, with a similar effect","[68, 62, 7]","['Thus, there are aj= (bk+ 1)(ci + 1) possible subtrees headed by A @j. Goodman then gives a simple small PCFG with the following property: for every subtree in the training corpus headed by A, the grammar will generate an isomorphic subderivation with probability 1/a.', 'Let a represent the number of subtrees headed by nodes with nonterminal A, that is a =Ej aj.', 'Other models started off with a predefined grammar and used a corpus only for estimating the rule probabilities (as e.g.']",Method_Citation
7,E03-1005,"Bod, 2003",12,W06-2905,0,0,"(henceforth, STSGs), which can represent single words, contiguous and noncontiguous MWEs, context-free rules or complete parse trees in a unified representation. My approach is closely related to work in statistical parsing known as Data-Oriented Parsing (DOP), an empirically highly successful approach with labeled recall and precision scores on the Penn Tree Bank that are among the best currently obtained (Bod, 2003)","[126, 145, 133]","['We focused on the Labeled Precision (LP) and Labeled Recall (LR) scores, as these are commonly used to rank parsing systems.', 'This paper showed that a PCFG-reduction of DOP in combination with a new notion of the best parse tree results in fast processing times and very competitive accuracy on the Wall Street Journal treebank.', 'It should be mentioned that the best precision and recall scores reported in Bod (2001) are slightly better than the ones reported here (the difference is only 0.2% for sentences 100 words).']",Method_Citation
8,E03-1005,"Bod, 2003",13,W06-2905,0,0,"Shown are results were only elementary trees with scores higher than 0.3 and 0.1 respectively are used. However, more interesting is a qualitative analysis of the STSG induced, which shows that ,un like DOP1, push-n-pull arrives at a grammar that gives high weights (and scores) to those elementary3We approximated the most probable parse as follows (fol lowing (Bod, 2003))","[82, 47, 108]","['Bonnema et al. (1999) show that as a consequence too much weight is given to larger subtrees, and that the parse accuracy of DOP1 deteriorates if (very) large subtrees are included.', 'We show that a combination of a probabilistic and a simplicity metric, which chooses the simplest parse from the n likeliest parses, outperforms the use of these metrics alone.', 'The underlying idea of combining LikelihoodDOP and Simplicity-DOP is that the parser selects the simplest tree from among the n most probable trees, where n is a free parameter.']",Method_Citation
9,E03-1005,"Bod, 2003",14,P05-1022,0,0,"This result is only slightly higher than the highest reported result for this test-set, Bod? s (.907) (Bod,2003)","[94, 33, 133]","['This paper presents the first published results with this estimator on the WSJ.', 'Cross-validation is needed to avoid this problem.', 'It should be mentioned that the best precision and recall scores reported in Bod (2001) are slightly better than the ones reported here (the difference is only 0.2% for sentences 100 words).']",Method_Citation
